employee_id,first_name,last_name,address,city,country,postal,phone,email,department,position,emergency_contact_name,emergency_contact_phone,dob,created,address_lat,address_lon
E600000,Stacy,Barker,43 Fitzgerald Road,Derrimut,Australia,3026,0435004558,Stacy.Barker@dtf.gov.xx,Treasury and Finance,Consultant,Evelyn,04291182960,24-Oct-1965,10-May-2018,-37.807198650000004,144.7947570441741
E600001,Marilyn,Pope,30 Janefield Drive,Bundoora,Australia,3082,0431596716,Marilyn.Pope@health.gov.xx,Health,Consultant,John,0426003920,07-Nov-1981,01-Jun-2016,-37.68041235,145.0634301850926
E600002,Anna,Cole,80 Main Yarra Trail,Templestowe,Australia,3106,0466613539,Anna.Cole@transport.gov.xx,Transport,Assistant,Maria,04292208794,07-Jan-1992,25-Aug-2019,-37.741138516057376,145.12585868798092
E600003,Kelsey,Nolan,54 Todd Road,Port Melbourne,Australia,3207,0423478710,Kelsey.Nolan@health.gov.xx,Health,Executive,Dorothy,04471590729,08-Dec-1968,10-Dec-2019,-37.8282558,144.91041275689008
E600004,Elizabeth,Nelson,103 Mackenzie Road,West Melbourne,Australia,3013,0440259483,Elizabeth.Nelson@djpr.gov.xx,"Jobs, Precincts and Regions",Administator,Todd,04250412930,24-Sep-1974,09-Jan-2019,-37.8130945,144.90894308739806
E600005,Rebecca,Escobar,75 Barbiston Road,Melbourne Airport,Australia,3045,0433145565,Rebecca.Escobar@health.gov.xx,Health,Assistant,Robert,04276886534,17-Dec-1964,28-Oct-2016,-37.67860929368625,144.81928435867204
E600006,Benjamin,Woods,62 Western Ring In-Tullamarine In Ramp,Gowanbrae,Australia,3043,0429574923,Benjamin.Woods@health.gov.xx,Health,Team Leader,Yolanda,04460168360,10-Oct-1980,08-May-2019,-37.703767544675834,144.89196994888962
E600007,Billy,Dixon,67 Calder Freeway Onramp,Keilor,Australia,3036,0457485379,Billy.Dixon@dffh.gov.xx,"Families, Fairness and Housing",Executive,Robert,04287049432,24-Jul-1991,29-Sep-2019,-37.71640798592081,144.83693229407953
E600008,Kristen,Bridges,30 Bruce Way,Taylors Lakes,Australia,3038,0425294519,Kristen.Bridges@dtf.gov.xx,Treasury and Finance,Analyst,Robert,04618873975,04-Sep-1992,12-Jun-2018,-37.68695979019012,144.78260841562724
E600009,Dawn,Peterson,122 Kyora Parade,Balwyn North,Australia,3104,0417528914,Dawn.Peterson@djpr.gov.xx,"Jobs, Precincts and Regions",Analyst,Cheryl,04439217436,09-Apr-1989,16-Mar-2019,-37.78810640836101,145.06683756132463
E600010,David,Walsh,83 Leamington Street,Reservoir,Australia,3073,0418664488,David.Walsh@delwp.gov.xx,"Environment, Land, Water and Planning",Analyst,Brittany,04374202759,21-Nov-1968,26-Jun-2018,-37.71268851489688,145.003926123569
E600011,Alexis,Hunt,102 Keith Street,Alphington,Australia,3078,0467753004,Alexis.Hunt@health.gov.xx,Health,Consultant,Brandi,04242482904,25-Jun-1991,23-Feb-2019,-37.773754100000005,145.02860157293168
E600012,Megan,Gill,68 Dallas Drive,Dallas,Australia,3047,0413773225,Megan.Gill@dpc.gov.xx,Premier and Cabient,Administator,Cynthia,04668346567,23-Nov-1985,18-Feb-2015,-37.674401166590364,144.93600396556903
E600013,James,Olsen,114 Hume Highway,Craigieburn,Australia,3064,0418683852,James.Olsen@dffh.gov.xx,"Families, Fairness and Housing",Administator,Daniel,0448013079,11-May-1973,24-Jan-2019,-37.624833276304344,144.94851186196087
E600014,Danielle,Bailey,103 Welton Court,Deer Park,Australia,3023,0457135340,Danielle.Bailey@djpr.gov.xx,"Jobs, Precincts and Regions",Trainer,John,04347064927,28-Nov-1968,17-Dec-2018,-37.76300912229977,144.75952997561973
E600015,Dawn,Dickerson,80 D Road,West Melbourne,Australia,3013,0466096844,Dawn.Dickerson@dtf.gov.xx,Treasury and Finance,Operations,Stephanie,04593100428,04-Jan-1988,29-Mar-2018,-37.8127395,144.9153728
E600016,Charles,Norton,40 Fairbank Avenue,Heathmont,Australia,3135,0476581610,Charles.Norton@dtf.gov.xx,Treasury and Finance,Advisor,Matthew,04235596881,16-Apr-1987,18-Feb-2015,-37.827057245213865,145.2351517278842
E600017,Leslie,Henry,118 Albert Street,Northcote,Australia,3070,0450148823,Leslie.Henry@dffh.gov.xx,"Families, Fairness and Housing",Operations,Thomas,04146667113,20-Jun-1961,24-Apr-2015,-37.78300786907561,145.0066796713434
E600018,Dwayne,Rose,113 Clarendon Street,East Melbourne,Australia,3002,0451614851,Dwayne.Rose@education.gov.xx,Education and Training,Trainer,Chad,0434372487,29-May-1966,27-May-2018,-37.81280075,144.98174806406251
E600019,Tony,Crawford,96 Branston Road,St Albans,Australia,3021,0462067145,Tony.Crawford@education.gov.xx,Education and Training,Team Leader,John,04167953707,07-Feb-1977,29-Dec-2019,-37.75026028113187,144.82401678997115
E600020,Jesus,Stewart,26 Lincoln Street,Brunswick East,Australia,3057,0445447877,Jesus.Stewart@education.gov.xx,Education and Training,Operations,Michael,04585109439,22-Nov-1988,03-Feb-2016,-37.7583188,144.9778266
E600021,Diane,Peters,77 Emma Street,Caulfield South,Australia,3162,0430343836,Diane.Peters@health.gov.xx,Health,Analyst,Frederick,04560504119,25-Oct-1980,30-Sep-2017,-37.88901451247352,145.03646548894045
E600022,Carlos,Curtis,71 Marlborough Street,Bentleigh East,Australia,3165,0477828130,Carlos.Curtis@dffh.gov.xx,"Families, Fairness and Housing",Director,Kyle,04676445076,26-Jul-1979,19-Jan-2015,-37.91684420358106,145.0670136175242
E600023,Claudia,Mitchell,59 Churchill Avenue,Ascot Vale,Australia,3032,0452728884,Claudia.Mitchell@djpr.gov.xx,"Jobs, Precincts and Regions",Coordinator,Kayla,04422192847,21-Aug-1988,08-Jan-2017,-37.7809416,144.9196356
E600024,Susan,Curry,105 Cobain Square,Wantirna,Australia,3152,0433355835,Susan.Curry@education.gov.xx,Education and Training,Operations,James,04453867834,08-Mar-1959,10-Sep-2018,-37.8609907,145.2362296
E600025,Robert,Bush,51 Gilbert Street,Coburg,Australia,3058,0462900336,Robert.Bush@djpr.gov.xx,"Jobs, Precincts and Regions",Operations,Cynthia,0447101116,29-Jun-1958,08-Jan-2017,-37.74683218475908,144.95784349124915
E600026,Cody,Howe,23 Tantallon Crescent,Derrimut,Australia,3026,0451174523,Cody.Howe@health.gov.xx,Health,Administator,Elizabeth,04305108776,25-Jan-1991,15-Sep-2016,-37.791730211822475,144.77080010456336
E600027,Deborah,Kaufman,121 Sunshine Avenue,Kealba,Australia,3021,0443045833,Deborah.Kaufman@education.gov.xx,Education and Training,Director,Michele,04372004251,05-Jun-1963,14-Jun-2015,-37.74666723204446,144.82984894858922
