supplier_id,supplier_name,company_id,first_name,last_name,position,address,city,country,postal,phone,email,ytd_value,category,created,address_lat,address_lon
S3000,Monique Builders,ABN 45 301 598 208,Joanne,Melton,Consultant,109 Merri Creek Trail,Fawkner,Australia,3060,0428463601,JoanneM@Monique.com,470000,Builders,21-Jul-2016,-37.715396201080885,144.98036315291384
S3001,Lisa Apparel,ABN 43 302 758 581,Douglas,Kane,Director,76 Old Eltham Road,Lower Plenty,Australia,3093,0446367569,DouglasK@Lisa.com,780000,Apparel,11-Nov-2016,-37.7283389,145.1173467
S3002,Joshua Property,ABN 45 303 156 248,Tiffany,Alexander,Administator,77 Natalia Avenue,Oakleigh South,Australia,3166,0430034495,TiffanyA@Joshua.com,360000,Property,17-Nov-2014,-37.9160149,145.1065661
S3003,Scott Property,ABN 48 304 420 514,David,Kirk,Administator,100 Victoria Drive,Thomastown,Australia,3060,0436076489,DavidK@Scott.com,840000,Property,15-Jul-2015,-37.68100222995864,144.99037572351645
S3004,Katherine Lawyers,ABN 43 305 792 134,Rebecca,Bauer,Director,48 Ballantyne Street,Burwood East,Australia,3151,0434953530,RebeccaB@Katherine.com,480000,Lawyers,18-Jan-2020,-37.850774353604166,145.1632198191785
S3005,Kenneth Hotel,ABN 43 306 153 129,Nathan,Gross,Operations,58 Upland Road,Strathmore,Australia,3040,0438158775,NathanG@Kenneth.com,830000,Hotel,29-Jan-2017,-37.7407271865844,144.92190290086236
S3006,Tracy Physiotherapy,ABN 45 307 376 146,Matthew,Davis,Manager,44 Bunting Road,Brooklyn,Australia,3025,0428458453,MatthewD@Tracy.com,640000,Physiotherapy,19-Dec-2019,-37.810536496607284,144.8360705655959
S3007,John Lawyers,ABN 44 308 583 722,Robert,Lloyd,Team Leader,45 Burnet Trail,Kew,Australia,3067,0424552748,RobertL@John.com,240000,Lawyers,19-Apr-2018,-37.80014909846221,145.01040367480164
S3008,Laura Clinic,ABN 42 309 583 387,Dana,Castro,Director,56 Richards Street,Coburg,Australia,3058,0434224120,DanaC@Laura.com,560000,Clinic,01-Aug-2016,-37.74198114999998,144.97176805
S3009,Joseph Digital,ABN 47 310 480 747,Jonathan,Wolfe,Consultant,55 Flora Road,Donvale,Australia,3111,0414834232,JonathanW@Joseph.com,130000,Digital,30-Sep-2015,-37.78836949985455,145.1908519805928
S3010,Amanda Lawyers,ABN 43 311 447 799,Rhonda,Shepherd,Operations,67 Beauty Point Road,Research,Australia,3113,0451432266,RhondaS@Amanda.com,410000,Lawyers,30-Sep-2014,-37.71895772729158,145.195484434576
S3011,Joseph Builders,ABN 47 312 269 347,Stacy,Zimmerman,Manager,71 Collard Drive,Diamond Creek,Australia,3096,0428654925,StacyZ@Joseph.com,220000,Builders,26-May-2016,-37.661215298671486,145.16703030533168
S3012,William Physiotherapy,ABN 46 313 472 590,Tanner,Tyler,Director,77 Bridgewater Terrace,Caroline Springs,Australia,3023,0423485109,TannerT@William.com,470000,Physiotherapy,30-Jan-2019,-37.74681811329831,144.7347943566652
S3013,Kelly Finance,ABN 48 314 682 276,Roy,Maldonado,Assistant,121 Brunton Avenue,East Melbourne,Australia,3002,0425772358,RoyM@Kelly.com,870000,Finance,01-Oct-2016,-37.819908999999996,144.98322500667754
S3014,Monica Finance,ABN 47 315 872 738,Zachary,Perez,Consultant,27 Duncans Road,Werribee South,Australia,3030,0457916293,ZacharyP@Monica.com,310000,Finance,22-Mar-2017,-37.935335850905915,144.70733375197835
S3015,Cesar Cleaning,ABN 46 316 576 365,Eric,Thornton,Manager,83 Laluma Street,Essendon,Australia,3040,0430703230,EricT@Cesar.com,190000,Cleaning,13-Jul-2017,-37.75163196039766,144.90628256016313
S3016,Kimberly Lawyers,ABN 46 317 150 125,Tammy,Luna,Administator,71 Haig Court,Doncaster East,Australia,3130,0455946175,TammyL@Kimberly.com,370000,Lawyers,18-Nov-2014,-37.80075308526955,145.1614751249425
S3017,Jose Finance,ABN 45 318 829 567,Jessica,Johnson,Executive,35 Mona Place,South Yarra,Australia,3141,0422961759,JessicaJ@Jose.com,180000,Finance,08-Dec-2018,-37.83703295514767,144.9861393400708
S3018,Lauren Finance,ABN 43 319 385 766,Robert,Smith,Team Leader,26 Rosto Court,Tullamarine,Australia,3045,0443422052,RobertS@Lauren.com,630000,Finance,13-Jun-2015,-37.6912688,144.8806468
S3019,Maria Consulting,ABN 47 320 810 296,Sarah,Davis,Manager,112 Calder Freeway,Keilor,Australia,3036,0450056785,SarahD@Maria.com,460000,Consulting,17-Feb-2017,-37.70022257958347,144.80939911755635
S3020,Ryan Builders,ABN 46 321 575 688,William,Watson,Director,84 Kinnear Street,Footscray,Australia,3011,0426437398,WilliamW@Ryan.com,350000,Builders,29-Nov-2015,-37.7902913,144.89431446649718
S3021,Jennifer Management,ABN 42 322 548 809,Rachel,Macdonald,Administator,62 Kingston Boulevard,,Australia,3029,0436023264,RachelM@Jennifer.com,590000,Management,01-Nov-2015,-37.85645813620254,144.7030131708558
S3022,Zachary Digital,ABN 43 323 584 552,Matthew,Collins,Team Leader,108 Ross Road,Altona North,Australia,3025,0455375412,MatthewC@Zachary.com,630000,Digital,30-Dec-2014,-37.8442913,144.85786492913394
S3023,Brandi Apparel,ABN 46 324 412 151,Bailey,Quinn,Executive,78 Somerton Road,Greenvale,Australia,3059,0418807549,BaileyQ@Brandi.com,470000,Apparel,04-Feb-2020,-37.6285181,144.89424034141325
S3024,Michael Hotel,ABN 46 325 766 730,Richard,Johnson,Director,38 Fuge Street,Highett,Australia,3188,0439184551,RichardJ@Michael.com,630000,Hotel,06-May-2019,-37.94627289947835,145.0289578697733
S3025,Richard Physiotherapy,ABN 47 326 771 456,Elizabeth,Parker,Administator,98 Jasper Road,McKinnon,Australia,3204,0450492557,ElizabethP@Richard.com,150000,Physiotherapy,04-Dec-2016,-37.910092638461535,145.04336236153847
S3026,Matthew Gardening,ABN 48 327 378 235,Michelle,Marsh,Director,78 Outlook Drive,Eaglemont,Australia,3079,0446077079,MichelleM@Matthew.com,340000,Gardening,20-Dec-2019,-37.76697384778,145.06428516022555
S3027,Jared Builders,ABN 47 328 550 156,Alexander,Roy,Operations,37 Dirkala Avenue,Heathmont,Australia,3135,0451247471,AlexanderR@Jared.com,190000,Builders,08-Feb-2017,-37.8378573,145.2363401
S3028,Mason Builders,ABN 41 329 128 864,Alexander,Ortiz,Administator,70 Barwon Court,Clayton South,Australia,3169,0420786141,AlexanderO@Mason.com,440000,Builders,01-Dec-2019,-37.94097738763488,145.11054629027265
S3029,Alexis Finance,ABN 43 330 750 303,Aaron,Lopez,Executive,78 Bannons Lane North,Doreen,Australia,3091,0411620447,AaronL@Alexis.com,390000,Finance,05-Oct-2018,-37.62415725423785,145.16739082610135
S3030,Scott Builders,ABN 42 331 129 734,Bonnie,Bishop,Director,74 Highview Grove,Burwood East,Australia,3151,0461414040,BonnieB@Scott.com,870000,Builders,31-Oct-2019,-37.853068691188156,145.14593561363543
S3031,Kari Hotel,ABN 42 332 235 727,Andrea,Harvey,Director,60 Terminal Drive,Melbourne Airport,Australia,3045,0461324074,AndreaH@Kari.com,720000,Hotel,23-Aug-2015,-37.6759511,144.8585638
S3032,Keith Management,ABN 46 333 653 400,Lauren,Wilson,Operations,36 Reeve Court,Cheltenham,Australia,3192,0449034955,LaurenW@Keith.com,150000,Management,22-May-2019,-37.9591322,145.0579183
S3033,Joel Clinic,ABN 42 334 277 307,Barry,Mclean,Manager,24 Yarra Flats Entry Road,Eaglemont,Australia,3084,0461238949,BarryM@Joel.com,520000,Clinic,08-Sep-2019,-37.76306967349105,145.0774282271549
S3034,Ryan Apparel,ABN 45 335 745 488,Tonya,Lee,Assistant,74 Blue Lake Circuit,Plenty,Australia,3082,0429740882,TonyaL@Ryan.com,320000,Apparel,18-Dec-2016,-37.66909446316361,145.0885918347684
S3035,Sarah Lawyers,ABN 45 336 398 139,Briana,Dennis,Director,47 Christies Road,Ravenhall,Australia,3023,0411383551,BrianaD@Sarah.com,320000,Lawyers,28-Sep-2016,-37.7660719,144.7355342
S3036,Matthew Digital,ABN 48 337 877 553,Glenda,Gill,Director,108 Neil Street,West Footscray,Australia,3012,0460078419,GlendaG@Matthew.com,500000,Digital,12-Sep-2018,-37.79750911905613,144.86476826461907
S3037,Victoria Digital,ABN 46 338 412 668,Ashley,Wilson,Assistant,81 Parkinson Street,Mount Waverley,Australia,3166,0467839684,AshleyW@Victoria.com,590000,Digital,09-Aug-2018,-37.89513736462526,145.10823682370784
